gen,batch,idx,kind,kept,score,d_db,beam,eta,s11_worst,copper,peak_x,peak_y,npy,png
1,0,1,init,1,7.299011,14.6147,0.6128,0.9393,-10.1264,105,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init001.png
1,0,2,init,0,7.297231,14.9506,0.6126,0.9360,-10.0588,106,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init002.png
1,0,3,init,0,7.277029,14.9551,0.6129,0.9321,-9.8176,109,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init003.png
1,0,4,init,0,7.259515,14.7603,0.6121,0.9291,-9.7117,109,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init004.png
1,0,5,init,0,7.259255,14.9774,0.6130,0.9281,-9.6953,108,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init005.png
1,0,6,init,0,7.257813,14.8751,0.6123,0.9281,-9.6892,107,6.00,-3.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init006.png
1,0,7,init,0,7.242557,18.6440,0.6978,0.9425,-10.2382,123,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init007.png
1,0,8,init,0,-21.101119,15.3241,0.6569,0.9521,-10.5929,4,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g001_b000_init008.png
2,1,1,kid,0,-21.359300,18.1526,0.6907,0.9975,-21.9270,3,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid001.png
2,1,2,kid,0,6.425716,18.0799,0.6894,0.7748,-5.4576,101,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid002.png
2,1,3,kid,0,-22.791432,18.1284,0.6899,0.6569,-3.1301,4,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid003.png
2,1,4,kid,0,6.840048,18.1711,0.6917,0.8531,-7.1910,103,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid004.png
2,1,5,kid,0,-17.638221,18.4326,0.6987,0.9956,-18.3385,13,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid005.png
2,1,6,kid,0,-22.590793,18.5590,0.7007,0.5835,-2.5583,6,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid006.png
2,1,7,kid,0,-19.031002,18.7336,0.7050,0.6111,-3.0503,15,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid007.png
2,1,8,kid,0,7.157708,18.5763,0.7026,0.9262,-9.5493,106,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid008.png
2,1,9,kid,0,7.175580,18.4528,0.7005,0.9283,-9.6740,100,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid009.png
2,1,10,kid,0,7.272604,18.2686,0.6979,0.9473,-10.8021,101,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid010.png
2,1,11,kid,0,7.226351,18.1924,0.6969,0.9365,-10.0281,104,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid011.png
2,1,12,kid,0,7.243581,17.8231,0.6918,0.9359,-9.9228,96,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid012.png
2,1,13,kid,0,7.221446,17.7092,0.6900,0.9301,-9.9076,97,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid013.png
2,1,14,kid,0,7.229131,17.3129,0.6839,0.9276,-9.3812,101,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid014.png
2,1,15,kid,0,7.243815,17.2277,0.6827,0.9298,-9.5857,101,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid015.png
2,1,16,kid,0,7.319071,17.0683,0.6807,0.9447,-10.3832,106,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid016.png
2,1,17,kid,1,7.344907,16.7440,0.6767,0.9478,-10.4391,98,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g002_b001_kid017.png
3,1,1,kid,0,-15.024495,16.6723,0.6807,0.9793,-14.7929,20,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid001.png
3,1,2,kid,0,6.955557,16.6652,0.6806,0.8687,-7.6956,93,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid002.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid002.png
3,1,3,kid,0,6.494699,16.6468,0.6803,0.7810,-5.6419,129,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid003.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid003.png
3,1,4,kid,0,-21.936826,16.7097,0.6806,0.8651,-6.3241,3,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid004.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid004.png
3,1,5,kid,1,7.560816,16.4676,0.6739,0.9920,-15.6222,202,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid005.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid005.png
3,1,6,kid,0,-8.729553,16.3144,0.6731,0.3695,-1.6868,48,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid006.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid006.png
3,1,7,kid,0,-5.571480,16.3089,0.6732,0.9908,-16.3224,45,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid007.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid007.png
3,1,8,kid,0,7.442099,16.1992,0.6725,0.9653,-11.8356,93,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid008.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid008.png
3,1,9,kid,0,7.349113,16.1488,0.6722,0.9447,-10.2960,96,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid009.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid009.png
3,1,10,kid,0,7.439053,16.0469,0.6713,0.9639,-11.4913,92,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid010.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid010.png
3,1,11,kid,0,7.371664,15.9856,0.6708,0.9488,-10.4757,94,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid011.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid011.png
3,1,12,kid,0,7.301974,15.9318,0.6703,0.9334,-9.6617,93,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid012.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid012.png
3,1,13,kid,0,7.325669,15.8818,0.6698,0.9382,-10.0404,98,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid013.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid013.png
3,1,14,kid,0,7.314719,15.8393,0.6694,0.9356,-9.9994,91,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid014.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid014.png
3,1,15,kid,0,7.533477,15.6482,0.6704,0.9831,-13.5792,90,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid015.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid015.png
3,1,16,kid,0,7.366179,15.5603,0.6695,0.9454,-10.2092,97,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid016.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid016.png
3,1,17,kid,0,7.524928,15.4208,0.6684,0.9799,-13.2844,94,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid017.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g003_b001_kid017.png
4,1,1,kid,0,-21.274504,15.5293,0.6689,0.9975,-21.9289,3,1.00,1.00,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid001.npy,//10.35.23.2/smb/work/antenna_simluation/run_byproduct/metal/g004_b001_kid001.png
