freq_Hz,S11_dB
6.000000000000000000e+09,-6.299674401095646248e-01
6.006250000000000000e+09,-6.365231205959687166e-01
6.012500000000000000e+09,-6.431560769554879320e-01
6.018750000000000000e+09,-6.498670904100241064e-01
6.025000000000000000e+09,-6.566574153160019689e-01
6.031250000000000000e+09,-6.635287773229991970e-01
6.037500000000000000e+09,-6.704833661685019042e-01
6.043750000000000000e+09,-6.775238234137881399e-01
6.050000000000000000e+09,-6.846532254806432238e-01
6.056250000000000000e+09,-6.918750623975826741e-01
6.062500000000000000e+09,-6.991932127037813194e-01
6.068750000000000000e+09,-7.066119149950343958e-01
6.075000000000000000e+09,-7.141357366216721791e-01
6.081250000000000000e+09,-7.217695400664004834e-01
6.087500000000000000e+09,-7.295184475443395877e-01
6.093750000000000000e+09,-7.373878043679644723e-01
6.100000000000000000e+09,-7.453831416207243876e-01
6.106250000000000000e+09,-7.535101386702447446e-01
6.112500000000000000e+09,-7.617745860376788913e-01
6.118750000000000000e+09,-7.701823491176517100e-01
6.125000000000000000e+09,-7.787393332156634651e-01
6.131250000000000000e+09,-7.874514503380543040e-01
6.137500000000000000e+09,-7.963245881338681942e-01
6.143750000000000000e+09,-8.053645813472293247e-01
6.150000000000000000e+09,-8.145771860980413059e-01
6.156250000000000000e+09,-8.239680572631248312e-01
6.162500000000000000e+09,-8.335427291833192864e-01
6.168750000000000000e+09,-8.433065998760582715e-01
6.175000000000000000e+09,-8.532649188845420340e-01
6.181250000000000000e+09,-8.634227788476633858e-01
6.187500000000000000e+09,-8.737851108278543721e-01
6.193750000000000000e+09,-8.843566833894962453e-01
6.200000000000000000e+09,-8.951421053757524504e-01
6.206250000000000000e+09,-9.061458322914386354e-01
6.212500000000000000e+09,-9.173721761596030921e-01
6.218750000000000000e+09,-9.288253186836492592e-01
6.225000000000000000e+09,-9.405093275137192954e-01
6.231250000000000000e+09,-9.524281753866697953e-01
6.237500000000000000e+09,-9.645857618828104219e-01
6.243750000000000000e+09,-9.769859375195393270e-01
6.250000000000000000e+09,-9.896325298852217678e-01
6.256250000000000000e+09,-1.002529371500749722e+00
6.262500000000000000e+09,-1.015680329086540823e+00
6.268750000000000000e+09,-1.029089333906767711e+00
6.275000000000000000e+09,-1.042760412859487174e+00
6.281250000000000000e+09,-1.056697719984209805e+00
6.287500000000000000e+09,-1.070905568062823443e+00
6.293750000000000000e+09,-1.085388460000210831e+00
6.300000000000000000e+09,-1.100151119683309142e+00
6.306250000000000000e+09,-1.115198522033284068e+00
6.312500000000000000e+09,-1.130535921985511338e+00
6.318750000000000000e+09,-1.146168882153748125e+00
6.325000000000000000e+09,-1.162103298959924480e+00
6.331250000000000000e+09,-1.178345427037400528e+00
6.337500000000000000e+09,-1.194901901744974015e+00
6.343750000000000000e+09,-1.211779759658579536e+00
6.350000000000000000e+09,-1.228986456939462402e+00
6.356250000000000000e+09,-1.246529885509299662e+00
6.362500000000000000e+09,-1.264418386995359578e+00
6.368750000000000000e+09,-1.282660764441438062e+00
6.375000000000000000e+09,-1.301266291811645548e+00
6.381250000000000000e+09,-1.320244721345855687e+00
6.387500000000000000e+09,-1.339606288855279548e+00
6.393750000000000000e+09,-1.359361717075080689e+00
6.400000000000000000e+09,-1.379522217218025260e+00
6.406250000000000000e+09,-1.400099488897284417e+00
6.412500000000000000e+09,-1.421105718609364521e+00
6.418750000000000000e+09,-1.442553576987633868e+00
6.425000000000000000e+09,-1.464456215054112942e+00
6.431250000000000000e+09,-1.486827259711741789e+00
6.437500000000000000e+09,-1.509680808730685886e+00
6.443750000000000000e+09,-1.533031425490567257e+00
6.450000000000000000e+09,-1.556894133746622000e+00
6.456250000000000000e+09,-1.581284412689779373e+00
6.462500000000000000e+09,-1.606218192571280845e+00
6.468750000000000000e+09,-1.631711851158335058e+00
6.475000000000000000e+09,-1.657782211283420404e+00
6.481250000000000000e+09,-1.684446539739785864e+00
6.487500000000000000e+09,-1.711722547767312586e+00
6.493750000000000000e+09,-1.739628393358961800e+00
6.500000000000000000e+09,-1.768182685604760884e+00
6.506250000000000000e+09,-1.797404491273693061e+00
6.512500000000000000e+09,-1.827313343817053903e+00
6.518750000000000000e+09,-1.857929254958055498e+00
6.525000000000000000e+09,-1.889272729013367513e+00
6.531250000000000000e+09,-1.921364780072287948e+00
6.537500000000000000e+09,-1.954226952139341389e+00
6.543750000000000000e+09,-1.987881342325072964e+00
6.550000000000000000e+09,-2.022350627150860003e+00
6.556250000000000000e+09,-2.057658092012919049e+00
6.562500000000000000e+09,-2.093827663832525499e+00
6.568750000000000000e+09,-2.130883946900987258e+00
6.575000000000000000e+09,-2.168852261911893287e+00
6.581250000000000000e+09,-2.207758688157112292e+00
6.587500000000000000e+09,-2.247630108850140029e+00
6.593750000000000000e+09,-2.288494259528015995e+00
6.600000000000000000e+09,-2.330379779473878532e+00
6.606250000000000000e+09,-2.373316266094683158e+00
6.612500000000000000e+09,-2.417334332183141754e+00
6.618750000000000000e+09,-2.462465665991659947e+00
6.625000000000000000e+09,-2.508743094045189359e+00
6.631250000000000000e+09,-2.556200646624146700e+00
6.637500000000000000e+09,-2.604873625854400299e+00
6.643750000000000000e+09,-2.654798676350988540e+00
6.650000000000000000e+09,-2.706013858374867187e+00
6.656250000000000000e+09,-2.758558723478120811e+00
6.662500000000000000e+09,-2.812474392632625886e+00
6.668750000000000000e+09,-2.867803636860459804e+00
6.675000000000000000e+09,-2.924590960410637930e+00
6.681250000000000000e+09,-2.982882686557787544e+00
6.687500000000000000e+09,-3.042727046132469138e+00
6.693750000000000000e+09,-3.104174268931030323e+00
6.700000000000000000e+09,-3.167276678195392492e+00
6.706250000000000000e+09,-3.232088788399686941e+00
6.712500000000000000e+09,-3.298667406631363708e+00
6.718750000000000000e+09,-3.367071737910626972e+00
6.725000000000000000e+09,-3.437363494851320311e+00
6.731250000000000000e+09,-3.509607012133471482e+00
6.737500000000000000e+09,-3.583869366327265382e+00
6.743750000000000000e+09,-3.660220501687156514e+00
6.750000000000000000e+09,-3.738733362616992295e+00
6.756250000000000000e+09,-3.819484033599988670e+00
6.762500000000000000e+09,-3.902551887485113280e+00
6.768750000000000000e+09,-3.988019743131335115e+00
6.775000000000000000e+09,-4.075974033528940943e+00
6.781250000000000000e+09,-4.166504985648615822e+00
6.787500000000000000e+09,-4.259706813411895610e+00
6.793750000000000000e+09,-4.355677925336657097e+00
6.800000000000000000e+09,-4.454521148587204493e+00
6.806250000000000000e+09,-4.556343971355535594e+00
6.812500000000000000e+09,-4.661258805720460252e+00
6.818750000000000000e+09,-4.769383273377373555e+00
6.825000000000000000e+09,-4.880840516910009086e+00
6.831250000000000000e+09,-4.995759539587719900e+00
6.837500000000000000e+09,-5.114275577028346120e+00
6.843750000000000000e+09,-5.236530504467858727e+00
6.850000000000000000e+09,-5.362673283839284544e+00
6.856250000000000000e+09,-5.492860455385049967e+00
6.862500000000000000e+09,-5.627256679128395334e+00
6.868750000000000000e+09,-5.766035332215174947e+00
6.875000000000000000e+09,-5.909379168929019599e+00
6.881250000000000000e+09,-6.057481051090649160e+00
6.887500000000000000e+09,-6.210544757602298738e+00
6.893750000000000000e+09,-6.368785883108300183e+00
6.900000000000000000e+09,-6.532432837145715432e+00
6.906250000000000000e+09,-6.701727956780755946e+00
6.912500000000000000e+09,-6.876928747609642123e+00
6.918750000000000000e+09,-7.058309270185295858e+00
6.925000000000000000e+09,-7.246161691466740606e+00
6.931250000000000000e+09,-7.440798023828362417e+00
6.937500000000000000e+09,-7.642552077579908065e+00
6.943750000000000000e+09,-7.851781656897870221e+00
6.950000000000000000e+09,-8.068871033636046519e+00
6.956250000000000000e+09,-8.294233738733204575e+00
6.962500000000000000e+09,-8.528315716945572333e+00
6.968750000000000000e+09,-8.771598897434726538e+00
6.975000000000000000e+09,-9.024605240352471469e+00
6.981250000000000000e+09,-9.287901327887935210e+00
6.987500000000000000e+09,-9.562103577055015791e+00
6.993750000000000000e+09,-9.847884160308121082e+00
7.000000000000000000e+09,-1.014597772795006847e+01
7.006250000000000000e+09,-1.045718903158730129e+01
7.012500000000000000e+09,-1.078240154770238490e+01
7.018750000000000000e+09,-1.112258718985623851e+01
7.025000000000000000e+09,-1.147881716879149749e+01
7.031250000000000000e+09,-1.185227399784967517e+01
7.037500000000000000e+09,-1.224426452316841285e+01
7.043750000000000000e+09,-1.265623364459737488e+01
7.050000000000000000e+09,-1.308977801731840351e+01
7.056250000000000000e+09,-1.354665837217178037e+01
7.062500000000000000e+09,-1.402880797035845362e+01
7.068750000000000000e+09,-1.453833278145469876e+01
7.075000000000000000e+09,-1.507749566583254719e+01
7.081250000000000000e+09,-1.564867115747239978e+01
7.087500000000000000e+09,-1.625424766977407032e+01
7.093750000000000000e+09,-1.689643719898045404e+01
7.100000000000000000e+09,-1.757692421147755368e+01
7.106250000000000000e+09,-1.829623854773809910e+01
7.112500000000000000e+09,-1.905266434659217367e+01
7.118750000000000000e+09,-1.984039884211041382e+01
7.125000000000000000e+09,-2.064659197460557394e+01
7.131250000000000000e+09,-2.144699797004165731e+01
7.137500000000000000e+09,-2.220071441565778159e+01
7.143750000000000000e+09,-2.284666809326508741e+01
7.150000000000000000e+09,-2.330815949061731729e+01
7.156250000000000000e+09,-2.351264120850384387e+01
7.162500000000000000e+09,-2.342300437551515202e+01
7.168750000000000000e+09,-2.305784503184561629e+01
7.175000000000000000e+09,-2.248095984311899542e+01
7.181250000000000000e+09,-2.177069706952064720e+01
7.187500000000000000e+09,-2.099474240440150652e+01
7.193750000000000000e+09,-2.020085540956915082e+01
7.200000000000000000e+09,-1.941847716377900923e+01
7.206250000000000000e+09,-1.866385338803144833e+01
7.212500000000000000e+09,-1.794482729453023140e+01
7.218750000000000000e+09,-1.726427051498972531e+01
7.225000000000000000e+09,-1.662227065573279461e+01
7.231250000000000000e+09,-1.601744581460300410e+01
7.237500000000000000e+09,-1.544770737655884751e+01
7.243750000000000000e+09,-1.491069109495091460e+01
7.250000000000000000e+09,-1.440399374243030195e+01
7.256250000000000000e+09,-1.392529746436247606e+01
7.262500000000000000e+09,-1.347243002393264000e+01
7.268750000000000000e+09,-1.304338896405847237e+01
7.275000000000000000e+09,-1.263634591341310021e+01
7.281250000000000000e+09,-1.224964039736743260e+01
7.287500000000000000e+09,-1.188176852061380373e+01
7.293750000000000000e+09,-1.153136956260849644e+01
7.300000000000000000e+09,-1.119721217199750996e+01
7.306250000000000000e+09,-1.087818105797992096e+01
7.312500000000000000e+09,-1.057326462056250094e+01
7.318750000000000000e+09,-1.028154370100673276e+01
7.325000000000000000e+09,-1.000218148810137642e+01
7.331250000000000000e+09,-9.734414537803203871e+00
7.337500000000000000e+09,-9.477544825146539509e+00
7.343750000000000000e+09,-9.230932731424868365e+00
7.350000000000000000e+09,-8.993990866539595785e+00
7.356250000000000000e+09,-8.766178630202293931e+00
7.362500000000000000e+09,-8.546997422889528906e+00
7.368750000000000000e+09,-8.335986426065906230e+00
7.375000000000000000e+09,-8.132718880079305990e+00
7.381250000000000000e+09,-7.936798796662154487e+00
7.387500000000000000e+09,-7.747858050852095779e+00
7.393750000000000000e+09,-7.565553804234616209e+00
7.400000000000000000e+09,-7.389566217700230588e+00
7.406250000000000000e+09,-7.219596417421333179e+00
7.412500000000000000e+09,-7.055364682560007594e+00
7.418750000000000000e+09,-6.896608827382477713e+00
7.425000000000000000e+09,-6.743082754059952499e+00
7.431250000000000000e+09,-6.594555155542902725e+00
7.437500000000000000e+09,-6.450808350581217709e+00
7.443750000000000000e+09,-6.311637235273567015e+00
7.450000000000000000e+09,-6.176848337528431543e+00
7.456250000000000000e+09,-6.046258962541761761e+00
7.462500000000000000e+09,-5.919696418889460965e+00
7.468750000000000000e+09,-5.796997316122208588e+00
7.475000000000000000e+09,-5.678006925871633470e+00
7.481250000000000000e+09,-5.562578599448832151e+00
7.487500000000000000e+09,-5.450573235763657820e+00
7.493750000000000000e+09,-5.341858794131123744e+00
7.500000000000000000e+09,-5.236309847177170518e+00
7.506250000000000000e+09,-5.133807169619913680e+00
7.512500000000000000e+09,-5.034237359198888484e+00
